REFERENCE_NUM,PRODUCT_INDEX,VEHICLE_MODEL_CODE,CLAIMNO,CLAIM_NO,PARTNO,PARTDESCRIPTION,TOTAL_AMOUNT,NUM_CLAIM_NO
202001050026449,N000706,23103.0,'23002031940000000001,C230020319400,64520M56R00,"PANEL COMP, RR LAMP HOUSE, L",285.15,2.300203194e+19
202001050026449,N000706,23103.0,'23002031940000000001,C230020319400,84681M56R00,"WEATHERSTRIP, TRUNK LID OPNG",484.37,2.300203194e+19
202001050026449,N000706,23103.0,'23002031940000000001,C230020319400,65700M56R00,PANEL ASSY TRUNK LID,2492.18,2.300203194e+19
202001050026449,N000706,23103.0,'23002031940000000001,C230020319400,35750M56R00,"LAMP,  UNIT RR COMB LH",1915.25,2.300203194e+19
202012250082721,N000706,30135.0,'23002031863800000001,C230020318638,31100M86J30,"MOTOR ASSY, STARTING",3613.28,2.30020318638e+19
202012250082721,N000706,30135.0,'23002031863800000001,C230020318638,33580M79M00,"CONTROLLER ASSY,GATEWAY",2462.5,2.30020318638e+19
202012250082721,N000706,30135.0,'23002031863800000001,C230020318638,54402M65M20,"CABLE, PARKING BRAKE, L",363.28,2.30020318638e+19
202004270025418,N000706,31266.0,'23002030152300000001,C230020301523,35121M82P12,UNIT HEADLAMP RH,5822.03,2.30020301523e+19
202004270025418,N000706,31266.0,'23002030152300000001,C230020301523,37324-57L00,SHEET,582.03,2.30020301523e+19
202004270025418,N000706,31266.0,'23002030152300000001,C230020301523,57300M82P00,"PANEL, FRONT HOOD",5367.18,2.30020301523e+19
202007290094190,N000706,36542.0,'23002029399700000001,C230020293997,71711M54T00-5PK,"BUMPER,FRONT",1562.5,2.30020293997e+19
202007290094190,N000706,36542.0,'23002029399700000001,C230020293997,72470M55R00,"LINING COMP, FRONT FENDER, R",437.5,2.30020293997e+19
202006090050535,N000706,25375.0,'23002029325700000001,C230020293257,68003M53M00,"PANEL ASSY,REAR DOOR,R",6074.21,2.30020293257e+19
