REFERENCE_NUM,PRODUCT_INDEX,VEHICLE_MODEL_CODE,CLAIMNO,NUM_CLAIM_NO,TXT_PARTS_GROUP_NAME,TXT_PARTS_NAME,TOTAL_AMOUNT,NUM_PART_CODE
202108260089768,N000706,23139.0,'23002200306800000001,2.30022003068e+19,Rubber Plastic Parts,Emblem|Logo Rear Middle,189.05,1086
202107090087260,N000706,38123.0,'23002149113800000001,2.30021491138e+19,Rubber Plastic Parts,Bumper Rear Assembly,1863.0,1007
202112040039636,N000706,17662.0,'23002150489000000001,2.3002150489e+19,Glass Parts,Windshield Glass Front,2860.0,1003
202112040039636,N000706,17662.0,'23002150489000000001,2.3002150489e+19,Rubber Plastic Parts,Moulding Front Windshield,296.0,1035
202112040039636,N000706,17662.0,'23002150489000000001,2.3002150489e+19,Metalic Parts,Bonnet|Hood Assembly,2628.0,1002
201909020044067,N000706,25375.0,'23002148963800000001,2.30021489638e+19,Glass Parts,Front wind screen glass- Broken,3200.0,9999
201909020044067,N000706,25375.0,'23002148963800000001,2.30021489638e+19,Rubber Plastic Parts,Sealant kit- Deserve replacement,950.0,9999
202107270063983,N000706,21596.0,'23002149894300000001,2.30021498943e+19,Metalic Parts,AC Condenser Assembly,4925.0,1053
202108050019436,N000706,20646.0,'23002149091800000001,2.30021490918e+19,Metalic Parts,MEMBER COMP HOOD LOCK,753.91,9999
202108050019436,N000706,20646.0,'23002149091800000001,2.30021490918e+19,Metalic Parts,Fender Panel Front Right,1152.34,1021
202108050019436,N000706,20646.0,'23002149091800000001,2.30021490918e+19,Rubber Plastic Parts,Hose Discharge,718.75,1063
202108050019436,N000706,20646.0,'23002149091800000001,2.30021490918e+19,Rubber Plastic Parts,HOOD SWITCH,82.03,9999
202108050019436,N000706,20646.0,'23002149091800000001,2.30021490918e+19,Consumable,SUPER CEMENT,385.19,9999
202110100018701,N000706,12790.0,'23002151122100000001,2.30021511221e+19,Rubber Plastic Parts,Bumper Front Assembly,1464.84,1001
202110100018701,N000706,12790.0,'23002151122100000001,2.30021511221e+19,Rubber Plastic Parts,HOLDER FR SIDE LH,52.34,9999
202111130041136,N000706,12801.0,'23002200212200000001,2.30022002122e+19,Metalic Parts,Fender Panel Front Left,1449.21,1020
202105190059571,N000706,12794.0,'23002200438600000001,2.30022004386e+19,Rubber Plastic Parts,Head Light Right,2161.0,1023
202110110084916,N000706,18914.0,'23002147621700000001,2.30021476217e+19,Rubber Plastic Parts,Head Light Right,2313.55,1023
202110110084916,N000706,18914.0,'23002147621700000001,2.30021476217e+19,Rubber Plastic Parts,Bracket Front Bumper Right 1,80.41,1440
202109070009049,N000706,12801.0,'23002200152500000001,2.30022001525e+19,Rubber Plastic Parts,Sealant Rear Windshield Glass 1,627.11,1411
202109070009049,N000706,12801.0,'23002200152500000001,2.30022001525e+19,Rubber Plastic Parts,Bumper Rear Assembly,1914.06,1007
202110110084916,N000706,18914.0,'23002147621700000001,2.30021476217e+19,Metalic Parts,Hinge Bonnet|Hood Right,246.09,2054
202110110084916,N000706,18914.0,'23002147621700000001,2.30021476217e+19,Rubber Plastic Parts,Fog Light Front Right,983.05,1824
202201240071472,N000706,40256.0,'23002150320200000001,2.30021503202e+19,Rubber Plastic Parts,Side Rear View Mirror Outer Assembly Left,4220.34,2093
202201240071472,N000706,40256.0,'23002150320200000001,2.30021503202e+19,Rubber Plastic Parts,LINING COMPFRONT FENDER,476.56,9999
202109050026709,N000706,35646.0,'23002146807300000001,2.30021468073e+19,Consumable,CLIP,31.2,9999
202103260100160,N000706,17454.0,'23002149773600000001,2.30021497736e+19,Rubber Plastic Parts,Radiator Cooling Fan Assembly,2351.0,1339
202111130038246,N000706,30557.0,'23002149916900000001,2.30021499169e+19,Rubber Plastic Parts,Bumper Front Assembly,2015.62,1001
202112300064135,N000706,28712.0,'23002151049200000001,2.30021510492e+19,Rubber Plastic Parts,"EMBLEM,REAR(SHVS)",93.0,9999
202110110081358,N000706,12796.0,'23002151160200000001,2.30021511602e+19,Rubber Plastic Parts,Head Light Right,2330.5,1023
202111150040533,N000706,41854.0,'23002200236000000001,2.3002200236e+19,Rubber Plastic Parts,"GUARD ASSY,FR FENDER SPLASH,L",453.12,9999
202201100080601,N000706,38118.0,'23002200514500000001,2.30022005145e+19,Metalic Parts,Door Rear Left,7449.21,1014
202106150043155,N000706,42003.0,'23002200131900000001,2.30022001319e+19,Glass Parts,Windshield Glass Front,3186.0,1003
202201110050266,N000706,38840.0,'23002149913100000001,2.30021499131e+19,Rubber Plastic Parts,Cover Fog Light Right,89.0,1810
202201110050266,N000706,38840.0,'23002149913100000001,2.30021499131e+19,Metalic Parts,Hinge Bonnet|Hood Left,277.0,2053
202201110050266,N000706,38840.0,'23002149913100000001,2.30021499131e+19,Metalic Parts,Hinge Bonnet|Hood Right,277.0,2054
202106280051371,N000706,20554.0,'23002200672900000001,2.30022006729e+19,Glass Parts,Windshield Glass Front,2860.16,1003
202110290093979,N000706,25375.0,'23002200072900000001,2.30022000729e+19,Metalic Parts,"BRACE,LAMP SUPPORT,R",171.87,9999
202110290093979,N000706,25375.0,'23002200072900000001,2.30022000729e+19,Rubber Plastic Parts,Bumper Front Assembly,1039.06,1001
202110290093979,N000706,25375.0,'23002200072900000001,2.30022000729e+19,Rubber Plastic Parts,"FAN ASSY,ENG CLG",2494.53,9999
202110290093979,N000706,25375.0,'23002200072900000001,2.30022000729e+19,Rubber Plastic Parts,"GARNISH FR BUMPER NET, RH",152.34,9999
202110290093979,N000706,25375.0,'23002200072900000001,2.30022000729e+19,Rubber Plastic Parts,"HOSE,SUCTION",812.5,9999
202105210058314,N000706,42937.0,'23002200890800000001,2.30022008908e+19,Rubber Plastic Parts,"BEZEL,FRONT FOG LAMP,R",72.65,9999
202110100007057,N000706,12817.0,'23002149082600000001,2.30021490826e+19,Metalic Parts,Fender Panel Front Left,1164.06,1020
202110100007057,N000706,12817.0,'23002149082600000001,2.30021490826e+19,Rubber Plastic Parts,Moulding Front Windshield,277.34,1035
202110100007057,N000706,12817.0,'23002149082600000001,2.30021490826e+19,Rubber Plastic Parts,Head Light Left,1792.37,1022
202201130022801,N000706,18914.0,'23002201098900000001,2.30022010989e+19,Rubber Plastic Parts,Grille Radiator Middle,1339.84,2052
202202090028569,N000706,27583.0,'23002148371900000001,2.30021483719e+19,Rubber Plastic Parts,"GUIDE,GRILLE AIR",464.84,9999
202101040097101,N000706,21829.0,'23002200191900000001,2.30022001919e+19,Rubber Plastic Parts,EMBLEM(DDIS),40.62,9999
202109280053039,N000706,18913.0,'23002200821300000001,2.30022008213e+19,Rubber Plastic Parts,Bumper Front Assembly,1714.84,1001
202202150093273,N000706,21546.0,'23002200874300000001,2.30022008743e+19,Metalic Parts,Fender Panel Front Right,820.31,1021
202111250097584,N000706,36254.0,'23002150073800000001,2.30021500738e+19,Rubber Plastic Parts,Sealant Body 1,686.0,2081
202109200086579,N000706,25375.0,'23002146312000000001,2.3002146312e+19,Glass Parts,FRONT WINDSHIELD GLASS,2500.0,9999
202109200086579,N000706,25375.0,'23002146312000000001,2.3002146312e+19,Metalic Parts,Door Rear Right,6367.0,1015
202109200086579,N000706,25375.0,'23002146312000000001,2.3002146312e+19,Rubber Plastic Parts,Head Light Right,1788.0,1023
202109200086579,N000706,25375.0,'23002146312000000001,2.3002146312e+19,Rubber Plastic Parts,"HOLDER FR BUMPER, LH",63.0,9999
202109200086579,N000706,25375.0,'23002146312000000001,2.3002146312e+19,Rubber Plastic Parts,TANK WATER RESERVER,101.0,9999
202104290047402,N000706,20233.0,'23002201156100000001,2.30022011561e+19,Glass Parts,Windshield Glass,2432.2,9999
202109200086579,N000706,25375.0,'23002146312000000001,2.3002146312e+19,Rubber Plastic Parts,"HOLDER RR BUMPER, LH",63.0,9999
202109200086579,N000706,25375.0,'23002146312000000001,2.3002146312e+19,Metalic Parts,"ARM ASSY WIPER, LH",180.0,9999
202109200086579,N000706,25375.0,'23002146312000000001,2.3002146312e+19,Metalic Parts,"BAR COMP, FRONT STRABLIZER",1293.0,9999
202109200086579,N000706,25375.0,'23002146312000000001,2.3002146312e+19,Metalic Parts,SHOCKER KIT,1937.0,9999
202109200086579,N000706,25375.0,'23002146312000000001,2.3002146312e+19,Rubber Plastic Parts,WEATHER STRIP DOOR,398.0,9999
202109200086579,N000706,25375.0,'23002146312000000001,2.3002146312e+19,Metalic Parts,"MEMBER COMP APRON SIDE, L",2763.0,9999
202109200086579,N000706,25375.0,'23002146312000000001,2.3002146312e+19,Metalic Parts,HINGE REAR DOOR RH,166.0,9999
202109200086579,N000706,25375.0,'23002146312000000001,2.3002146312e+19,Metalic Parts,WHEEL COM,1671.0,9999
202109210063388,N000706,23105.0,'23002201873300000001,2.30022018733e+19,Rubber Plastic Parts,Bumper Front Assembly,1461.0,1001
202109210063388,N000706,23105.0,'23002201873300000001,2.30022018733e+19,Rubber Plastic Parts,Garnish,2074.0,9999
202110270052231,N000706,20646.0,'23002201185600000001,2.30022011856e+19,Rubber Plastic Parts,Bumper Rear Assembly,4585.93,1007
202201210033441,N000706,23104.0,'23002149161800000001,2.30021491618e+19,Metalic Parts,Fender Panel Front Right,902.34,1021
202108250021226,N000706,23103.0,'23002200845300000001,2.30022008453e+19,Metalic Parts,Tail Light Housing Left,285.0,1524
202108250021226,N000706,23103.0,'23002200845300000001,2.30022008453e+19,Rubber Plastic Parts,Bracket 2,74.0,2361
202112200006060,N000706,23101.0,'23002200178500000001,2.30022001785e+19,Rubber Plastic Parts,Bumper Front Assembly,1460.93,1001
202003070047109,N000706,41761.0,'23002200276100000001,2.30022002761e+19,Metalic Parts,Wheel Rim Steel Rear Right,1171.87,1032
202003070047109,N000706,41761.0,'23002200276100000001,2.30022002761e+19,Rubber Plastic Parts,Sealant Rear Right Quarter Glass 1,614.4,1409
202105020006333,N000706,36252.0,'23002200665500000001,2.30022006655e+19,Rubber Plastic Parts,Bumper Front Assembly,2312.0,1001
202112310119509,N000706,30563.0,'23002200817000000001,2.3002200817e+19,Rubber Plastic Parts,Moulding Front Windshield,363.0,1035
202112310119509,N000706,30563.0,'23002200817000000001,2.3002200817e+19,Glass Parts,Windshield Glass Front,2949.0,1003
202109200080966,N000706,18914.0,'23002148037300000001,2.30021480373e+19,Metalic Parts,Support Front Strut,277.34,9999
202109200080966,N000706,18914.0,'23002148037300000001,2.30021480373e+19,Rubber Plastic Parts,Cover Engine Under Side Left,225.0,9999
202203050046629,N000706,12801.0,'23002150127200000001,2.30021501272e+19,Rubber Plastic Parts,"TANK ASSY, WASHER",140.0,9999
202105250074595,N000706,24005.0,'23002200812900000001,2.30022008129e+19,Rubber Plastic Parts,LINING,355.0,9999
202110090033805,N000706,39246.0,'23002200026000000001,2.3002200026e+19,Rubber Plastic Parts,Emblem|Logo Quarter Panel Left 2,70.0,1078
202110090033805,N000706,39246.0,'23002200026000000001,2.3002200026e+19,Rubber Plastic Parts,Emblem|Logo Rear Middle,105.0,1086
